0,from,to,weight
1,0,1,4.793550611
2,1,2,17.94454465
3,2,3,1900.946935
4,2,8,7.19528856
5,1,3,113.6095449
6,0,4,2.10262662
7,4,5,5.372628031
8,5,3,68.0827553
9,8,9,125.759156
10,10,9,22.23838777
11,10,11,73.61163968
12,9,12,20.18044417
13,11,12,52.22061934
14,21,12,135.5485646
15,7,21,28.37985576
16,6,7,3.327656977
17,5,6,4.155203234
18,0,18,38.14475694
19,4,17,14.66004573
20,5,15,112.1819731
21,6,14,99.70088465
22,7,13,15.22125018
23,14,13,24.53457175
24,15,14,30.95195935
25,16,15,46.05105652
26,17,16,20.84391077
27,16,20,36.72242015
28,18,22,122.9010268
29,20,19,101.828143
30,19,13,40.45894044
31,8,10,3.863789599
32,22,20,59.44267597
33,18,17,38.18954836
34,23,0,0.49716394
